category,method,n,keypoint_recall,answer_composite,latency_mean_s
direct,LLM,119,0.09509803921568627,0.22384453781512606,12.025985714285714
direct,RAG,119,0.4508403361344538,0.5612394957983193,12.423447058823529
direct,LightRAG,119,0.6759103641456583,0.7535714285714286,15.558331092436974
formula,LLM,7,0.24523809523809523,0.3482142857142857,15.410642857142857
formula,RAG,7,0.6190476190476191,0.7000000000000001,12.989771428571428
formula,LightRAG,7,0.7333333333333334,0.8,16.122757142857143
multi_condition,LLM,21,0.27188208616780046,0.35391156462585033,11.006004761904762
multi_condition,RAG,21,0.653968253968254,0.6976190476190476,11.847619047619048
multi_condition,LightRAG,21,0.7793650793650794,0.825,14.551171428571429
numeric,LLM,22,0.22424242424242424,0.3181818181818182,8.080177272727273
numeric,RAG,22,0.5643939393939394,0.6323863636363637,9.226081818181818
numeric,LightRAG,22,0.7727272727272727,0.8204545454545454,11.426372727272728
table,LLM,31,0.37542242703533024,0.4444700460829493,9.048725806451612
table,RAG,31,0.7231182795698925,0.7762096774193549,9.007906451612904
table,LightRAG,31,0.8478494623655914,0.8794354838709677,11.582464516129033
